date, pm25, pm10, o3, no2, so2
07/02/2021,19, ,31,4, 
08/02/2021,26,23,32,14, 
09/02/2021,39,15,33,10, 
10/02/2021,15,11,27,15, 
11/02/2021,12,12,25,8, 
12/02/2021,10,11,24,17, 
13/02/2021,10, , , , 
15/02/2021, ,22,34,21, 
16/02/2021,29,34,29,14, 
17/02/2021,59,22,31,16, 
18/02/2021,48,55,27,11, 
19/02/2021,82,63,28,7, 
20/02/2021,105,27,32,7, 
21/02/2021,74, ,32,5, 
22/02/2021, ,17,29,16, 
23/02/2021,24,9,22,15, 
24/02/2021,10,25,31,10, 
25/02/2021,22,14,31,7, 
26/02/2021,17,20,16,16, 
27/02/2021,39,25,26,14, 
28/02/2021,56,28,27,12, 
01/03/2021,63,31,25,16, 
02/03/2021,70,28,26,17,1
03/03/2021,66,38,20,18,4
04/03/2021,84,50,27,15, 
05/03/2021,94,11,24,8, 
06/03/2021,43,34,31,9, 
07/03/2021,76,27,35,3, 
08/03/2021,63,15,34,5, 
09/03/2021,38,19,36,9, 
10/03/2021,46,14,31,11,5
11/03/2021,35,6,16,11, 
12/03/2021,21,8,30,10, 
13/03/2021,15, ,35,5, 
14/03/2021, ,9,35,3, 
15/03/2021,18,14,29,12, 
16/03/2021,28,13,33,14, 
17/03/2021,25,14,29,8, 
18/03/2021,32,12,33,7, 
19/03/2021,22,11,33,7, 
20/03/2021,22, ,37,4, 
21/03/2021, ,9,37,4,1
22/03/2021,19,17,35,16, 
23/03/2021,36,17,36,11, 
24/03/2021,37,14,33,9, 
25/03/2021,23,15,31,12, 
26/03/2021,21,10,32,7, 
27/03/2021,18,12,33,8, 
28/03/2021,46,32,22,10, 
29/03/2021,57,46,28,13, 
30/03/2021,65,44,36,12, 
31/03/2021,66,42,31,13, 
01/04/2021,60,30,35,6, 
02/04/2021,61,22,36,4, 
03/04/2021,50,27,36,8, 
04/04/2021,72,25,34,18, 
05/04/2021,57,22,15,29, 
06/04/2021,55, ,34,21, 
08/04/2021, ,39,35,14, 
09/04/2021, ,15,29,8, 
10/04/2021,30,6,35,4, 
11/04/2021,14,18,20,18, 
